,Unnamed: 0,name,ge,number,year,director,writer,act,length,type,region
1029,1029,大空头 The Big Short,8.5,163145,2015,亚当·麦凯,"查尔斯·伦道夫,亚当·麦凯,迈克尔·刘易斯","克里斯蒂安·贝尔,史蒂夫·卡瑞尔,瑞恩·高斯林,布拉德·皮特,梅丽莎·里奥,约翰·马加罗,拉菲·斯波,杰瑞米·斯特朗,芬·维特洛克,玛丽莎·托梅,崔西·莱茨,文峰,阿德普波·奥杜耶,凯伦·吉兰,马克思·格林菲尔德,比利·马格努森,玛格特·罗比,理查德·塞勒,赛琳娜·戈麦斯",130分钟,"剧情,传记",美国
1030,1030,死神来了2 Final Destination 2,7.4,136113,2003,大卫·R·艾里斯,"J·麦基·格鲁伯,埃里克·布雷斯,杰弗里·雷迪克","艾丽·拉特,A·J·库克,迈克尔·兰德斯,大卫·佩特考,詹姆斯·柯克,琳达·博伊德,基冈·康纳·特雷西,乔纳森·切里,特伦斯·卡森,贾斯蒂娜·马查多,托尼·托德,莎拉·卡特,亚利桑德罗·雷,肖恩·西珀斯,安德鲁·爱尔莱,克里斯蒂娜·杰斯特泽姆布斯卡,艾琳·佩德,诺尔·费舍,贝妮塔·夏,阿伦·道格拉斯,埃里克·李塞德,伊妮德·雷伊·亚当斯,薇娜·苏德,达西·劳瑞,John R. Taylor,奇尔顿·克兰,Klodyne Rodney,凯姆·科罗宁",90 分钟,"惊悚,恐怖","美国,加拿大"
1031,1031,恋爱通告,5.9,124681,2010,王力宏,"杜欣怡,陈虹洁,王力宏","王力宏,刘亦菲,曾轶可,陈汉典,陈冲,乔振宇,谢娜,谢园,方大同",99分钟,"喜剧,爱情","中国台湾,中国大陆"
1032,1032,拆弹部队 The Hurt Locker,7.8,149932,2008,凯瑟琳·毕格罗,马克·鲍尔,"杰瑞米·雷纳,安东尼·麦凯,布莱恩·格拉格提,克里斯托弗·沙耶,大卫·摩斯,拉尔夫·费因斯,盖·皮尔斯,克里斯蒂安·卡玛戈,伊万杰琳·莉莉",131 分钟,"剧情,惊悚,战争",美国
1033,1033,剑雨,7.3,149644,2010,苏照彬,苏照彬,"杨紫琼,郑雨盛,王学圻,徐熙媛,余文乐,戴立忍,鲍起静,林熙蕾,郭晓东,江一燕,吴佩慈,李宗翰,金士杰,吴飞霞",117分钟,"动作,爱情,武侠,古装","中国大陆,中国香港,中国台湾"
1034,1034,灵魂摆渡·黄泉,7.1,101582,2018,巨兴茂,小吉祥天,"于毅,何花,王瑞昌,岳丽娜,倪虹洁,巨兴茂,鲁佳妮",111分钟,"悬疑,惊悚,奇幻",中国大陆
1035,1035,四大名捕,5.2,100975,2012,"陈嘉上,秦小珍","温瑞安,陈嘉上,王思敏,谭广源","邓超,刘亦菲,郑中基,邹兆龙,黄秋生,江一燕,吴秀波,邓萃雯,成泰燊,吴映洁,包贝尔,木幡龙,田启文,方安娜,李子雄,苗驰,向恬冉,唐文龙,唐治平,刘长德,张颂文,李瑞雪,李紫菻,李欣烨,李宛真,邱晔,李奕泽",118分钟,"动作,爱情,悬疑,武侠,古装","中国大陆,中国香港"
1036,1036,兵临城下 Enemy at the Gates,8.5,148240,2001,让-雅克·阿诺,"让-雅克·阿诺,阿兰·戈达尔","裘德·洛,艾德·哈里斯,蕾切尔·薇兹,约瑟夫·费因斯,鲍勃·霍斯金斯,朗·普尔曼,埃娃·马特斯,加布瑞尔·汤姆森,马蒂亚斯·哈比希,索菲·罗伊斯,伊万·舍甫多夫,Mario Bandi,汉斯·马丁·施蒂尔,克雷蒙斯·施伊克,Mikhail Matveev,莱恩·库德里亚维斯基,马克西姆·科瓦莱夫斯基,格纳迪·文格洛夫,达·范·汉森德,Markus Majowski,罗伯特·施塔德洛伯,霍尔格·汉德克,马克·比肖夫,马克·扎克,Thomas Petruo,汤姆·拉斯齐哈,Dana Cebulla,维尔纳·德恩,波热尔·尤内尔,Vladimir Vilanov,迈克尔·施内克,Axel Neumann,Toby Cockerell,埃迪·约瑟夫,Martin Glyn Murray,瓦伦丁·普拉塔里努",131 分钟,"剧情,历史,战争","美国,德国,英国,爱尔兰"
1037,1037,木乃伊归来 The Mummy Returns,7.5,113098,2001,斯蒂芬·索莫斯,斯蒂芬·索莫斯,"布兰登·费舍,蕾切尔·薇兹,道恩·强森,约翰·汉纳,帕翠西娅·维拉奎兹",130分钟,"动作,奇幻,冒险",美国
1038,1038,出租车司机 Taxi Driver,8.5,157957,1976,马丁·斯科塞斯,保罗·施拉德,"罗伯特·德尼罗,朱迪·福斯特,斯碧尔·谢波德,艾伯特·布鲁克斯,哈威·凯特尔,戴安娜·阿伯特,维克多·阿尔果,吉诺·阿迪托,彼得·博伊尔,布伦达·迪克森",113分钟,"剧情,犯罪",美国
1039,1039,乌云背后的幸福线 Silver Linings Playbook,7.7,165107,2012,大卫·O·拉塞尔,"马修·魁克,大卫·O·拉塞尔","布莱德利·库珀,詹妮弗·劳伦斯,罗伯特·德尼罗,杰基·韦佛,克里斯·塔克,阿努潘·凯尔,约翰·奥提兹,谢伊·惠格姆,朱丽娅·斯蒂尔斯",122分钟,"剧情,喜剧,爱情,家庭",美国
1040,1040,解除好友2：暗网 Unfriended: Dark Web,7.9,154953,2018,斯蒂芬·思科,斯蒂芬·思科,"科林·伍德尔,斯蒂芬妮·诺格拉斯,瑞贝卡·瑞滕豪斯,安德鲁斯·李斯,贝蒂·加布里埃尔,康纳·戴尔·里奥,萨维拉·温蒂亚尼,切尔西·阿尔登,道格拉斯·泰特,阿什顿·斯迈利,阿历萨·芒索",92分钟,"恐怖,犯罪",美国
1041,1041,千年女优 千年女優,8.7,165576,2001,今敏,"今敏,村井贞之","庄司美代子,小山茉美,折笠富美子,饭塚昭三,小野坂昌也,津田匠子,铃置洋孝,京田尚子,德丸完,片冈富枝,石森达幸,佐藤政道,小形满,麻生智久,游佐浩二,肥后诚,坂口候一,志村知幸,木村亚希子,佐伯志,野岛裕史,浅野琉璃,大中宽子,园部好德,大黑优美子,山寺宏一,津嘉山正种",87 分钟,"剧情,爱情,动画",日本
1042,1042,女朋友，男朋友 女朋友○男朋友,7.5,149618,2012,杨雅喆,杨雅喆,"桂纶镁,张孝全,凤小岳,张书豪,仇泠,房思瑜,唐国忠,关勇,秋乃华,丁宁,雷瑟琳,雷婕熙",106分钟,"剧情,爱情,同性",中国台湾
1043,1043,精灵旅社3：疯狂假期 Hotel Transylvania 3: Summer Vacation,6.7,97968,2018,格恩迪·塔塔科夫斯基,"迈克尔·麦库勒斯,格恩迪·塔塔科夫斯基","亚当·桑德勒,凯瑟琳·哈恩,史蒂夫·布西密,赛琳娜·戈麦斯,阿什·布林克夫,梅尔·布鲁克斯,科甘-迈克尔·凯,安迪·萨姆伯格,法兰·德瑞雪,大卫·斯佩德,凯文·詹姆斯,莫莉·香侬,格恩迪·塔塔科夫斯基,乔·怀特,克莉丝汀·泰根,乔·乔纳斯,吉姆·加菲根",98分钟,"喜剧,动画,奇幻",美国
1044,1044,杀破狼 殺破狼,7.5,108170,2005,叶伟信,"司徒锦源,吴炜伦,叶伟信","甄子丹,洪金宝,任达华,廖启智,吴京,洪天明,张智尧,夏韶声",93分钟,"剧情,动作,犯罪",中国香港
1045,1045,了不起的狐狸爸爸 Fantastic Mr. Fox,8.5,161885,2009,韦斯·安德森,"韦斯·安德森,诺亚·鲍姆巴赫,罗尔德·达尔","乔治·克鲁尼,梅丽尔·斯特里普,詹森·舒瓦兹曼,埃里克·蔡斯·安德森,比尔·默瑞,华莱士·沃洛达斯基,迈克尔·刚本,威廉·达福,欧文·威尔逊,贾维斯·考科尔,韦斯·安德森,凯伦·达菲,罗宾·赫尔斯通,雨果·吉尼斯,海伦·麦克洛瑞,罗曼·科波拉,尤玛·马努夫,杰瑞米·道森,加斯·詹宁斯,布莱恩·考克斯,特里斯坦·奥利弗,詹姆斯·哈密尔顿,史蒂文·M·拉尔斯,罗伯·赫尔索夫,珍妮弗·弗切斯,艾莉森·阿巴特,茉莉·库珀,艾德里安·布洛迪,马利欧·巴塔利,马丁·巴拉德",87分钟,"喜剧,动画,冒险",美国
1046,1046,七武士 七人の侍,9.3,142388,1954,黑泽明,"黑泽明,桥本忍,小国英雄","三船敏郎,志村乔,津岛惠子,岛崎雪子,藤原釜足,加东大介,木村功,千秋实,宫口精二,小杉义男,左卜全,稻叶义男,土屋嘉男,高堂国典,东野英治郎,上田吉二郎,多多良纯,渡边笃,小川虎之助,山形勋,上山草人,清水元,高木新平,大友伸,高原骏雄,稻垣三郎,堺左千夫,千石规子,本间文子,大久保正信,伊藤实,大村千吉,广濑正一,宇野晃司,谷晃,中岛春雄,清水美恵,熊谷卓三,夏木顺平,岩本弘司,堤康久,马野都留子,森今日子,加藤武,仲代达矢,宇津井健,山本廉",207分钟,"剧情,动作,冒险",日本
1047,1047,天使之城 City of Angels,7.9,136995,1998,布拉德·塞伯宁,"达娜·史蒂文斯,维姆·文德斯,彼得·汉德克,里卡德·赖廷格","尼古拉斯·凯奇,梅格·瑞恩,安德鲁·布劳尔,丹尼斯·弗兰茨,科鲁姆·费奥瑞,罗宾·巴特利特,乔安娜·默林,莎拉·丹普夫,朗达·多森,奈杰尔·吉布斯,约翰·普奇,劳里·约翰逊,克里斯蒂安·奥伯特,杰·帕特森,希希尔·库鲁普",114分钟,"剧情,爱情,奇幻","美国,德国"
1048,1048,大魔术师 大魔術師,6.5,151338,2011,尔冬升,"秦天南,尔冬升,刘浩良","梁朝伟,刘青云,周迅,闫妮,吴刚,方中信,秦沛,林雪,泽田谦也,王子文,王紫逸,吴彦祖,徐克,戎祥,陆剑明,江道海,谷德昭,吴廷烨",128分钟,"剧情,喜剧,爱情,奇幻","中国大陆,中国香港"
1049,1049,真实的谎言 True Lies,8.2,132461,1994,詹姆斯·卡梅隆,詹姆斯·卡梅隆,"阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德,比尔·帕克斯顿,蒂亚·卡雷尔,阿特·马里克,艾丽莎·杜什库,格兰特·赫斯洛夫,查尔顿·赫斯顿,马绍尔·曼尼什,詹姆斯·艾伦,迪特尔·劳特尔,简·莫里斯,卡齐·查普尔,克丽丝蒂娜·怀勒,奥弗·萨姆拉",141分钟,"喜剧,动作,惊悚",美国
1050,1050,导盲犬小Q クイール,8.4,130674,2004,崔洋一,"丸山升一,中村义洋","小林薰,椎名桔平,香川照之,户田惠子,黑谷友香",100分钟,剧情,日本
1051,1051,我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,8.2,155779,2014,巴伦·博·欧达尔,"巴伦·博·欧达尔,扬特耶·弗里泽","汤姆·希林,埃利亚斯·穆巴里克,沃坦·维尔克·默林,汉娜·赫茨施普龙,崔娜·蒂虹,李奥那多·卡劳,小安托万·莫诺特,利奥波德·霍尔农,卡塔琳娜·马茨,阿尔恩特·施韦林·索瑞",102分钟,"悬疑,惊悚,犯罪",德国
1052,1052,最好的我们,5.4,95520,2019,章笛沙,"章笛沙,黄斌,黄墨奇","陈飞宇,何蓝逗,惠英红,陶慧敏,汪苏泷,董力,蒋紫嫣,周楚濋,方文强,王初伊,高文峰,陈帅,秦昊,张小厚",110分钟,"剧情,爱情",中国大陆
1053,1053,金福南杀人事件始末 김복남 살인사건의 전말,8.5,164411,2010,张哲洙,张哲洙,"徐英姬,池成媛,朴政学,白秀莲,黄民浩,제민,李芝恩,蔡诗贤,裴晟祐",116分钟,"剧情,惊悚,犯罪",韩国
1054,1054,情癫大圣,5.4,114261,2005,刘镇伟,刘镇伟,"谢霆锋,蔡卓妍,范冰冰,陈柏霖,梁洛施,关智斌,张致恒,钟镇涛,谭耀文,元华,惠英红,黎耀祥",103分钟,"剧情,喜剧,动作,爱情,奇幻","中国大陆,中国香港"
1055,1055,不见不散,7.8,126091,1998,冯小刚,"顾晓阳,冯小刚","葛优,徐帆",103分钟,"喜剧,爱情",中国大陆
1056,1056,白雪公主和七个小矮人 Snow White and the Seven Dwarfs,8.3,91432,1937,戴维·汉德,"特德·西尔斯,奥托·英格兰德,伊尔·赫德","阿德里亚娜·卡塞洛蒂,罗伊·阿特威尔,Stuart Buchanan,Hall Johnson Choir",83 分钟,"爱情,动画,歌舞,家庭,奇幻",美国
1057,1057,整容日记,4.7,88647,2014,林爱华,"林爱华,陈嘉仪","白百何,郑中基,张瑶,郭京飞,金尤美,王宇媛,李潇潇,周艳平,万薇",84分钟,"喜剧,爱情","中国大陆,中国香港"
1058,1058,侏罗纪公园3 Jurassic Park III,7.3,88917,2001,乔·庄斯顿,"彼得·布奇曼,亚历山大·佩恩,迈克尔·克莱顿,吉姆·泰勒","山姆·尼尔,威廉姆·H·梅西,蒂娅·里欧妮,亚历桑德罗·尼沃拉,特拉沃·摩根,迈克尔·杰特,约翰·迪尔,劳拉·邓恩,泰勒·尼科斯,马克·哈雷利克,胡里奥·奥斯卡·门乔索,布莱克·迈克尔·布莱恩,萨拉·丹尼尔·马迪森,琳达·朴,布鲁斯·A·扬",92 分钟,"动作,科幻,惊悚,冒险",美国
1059,1059,被光抓走的人,6.9,153262,2019,董润年,董润年,"黄渤,王珞丹,谭卓,白客,黄璐,文淇,焦俊艳,宋春丽,李嘉琪,丁溪鹤,吕星辰,黄觉,李倩,王菊,李诞,金靖承,曹炳琨,张腾岳,田壮壮,刘頔",131分钟,"剧情,爱情,科幻",中国大陆
1060,1060,Hello！树先生,7.9,146337,2011,韩杰,韩杰,"王宝强,谭卓,何洁,白培将,王大治,王亚彬,李京怡,邱士鉴",88分钟,剧情,中国大陆
1061,1061,星际迷航3：超越星辰 Star Trek Beyond,7.4,126915,2016,林诣彬,"西蒙·佩吉,道格·郑,吉恩·罗登贝瑞,罗伯托·奥奇,约翰·D·佩恩,派特里克·麦凯","克里斯·派恩,扎克瑞·昆图,佐伊·索尔达娜,西蒙·佩吉,安东·叶利钦,伊德里斯·艾尔巴,索菲亚·波多拉,卡尔·厄本,索瑞·安达斯鲁,约翰·赵,迪普·罗伊,莉迪亚·威尔逊,乔·塔斯利姆,约瑟夫·盖特,卡洛·安切洛蒂,亚当·迪马克,梅丽莎·罗斯伯格,阿什丽·艾德纳,贾森·马修·史密斯",122分钟(中国大陆/美国),"动作,科幻,冒险",美国
1062,1062,异星觉醒 Life,6.5,129129,2017,丹尼尔·伊斯皮诺萨,"瑞特·里斯,保罗·韦尼克","杰克·吉伦哈尔,丽贝卡·弗格森,瑞恩·雷诺兹,真田广之,阿利安·巴克瑞,奥尔加·戴维克娜雅,大卫·梅尔,伊莉莎白·巴尔加斯,卡米尔·沃伦-泰勒,森尚子,亚历山大·阮,希·伍辛",104分钟,"科幻,惊悚,恐怖",美国
1063,1063,前目的地 Predestination,7.9,151290,2014,"迈克尔·斯派瑞,彼得·斯派瑞","迈克尔·斯派瑞,彼得·斯派瑞,罗伯特·A·海因莱因","伊桑·霍克,莎拉·斯努克,诺亚·泰勒,弗雷娅·斯塔福,伊莉斯·詹森,凯特·沃尔夫,迈德琳·怀斯特,亚历克西斯·费尔南德斯,克里斯托弗·卡比,罗伯·詹金斯,艾丽西娅·帕夫利斯,奥利维亚·斯普拉格,吉姆·克诺贝洛赫,露辛达·阿姆斯特朗·霍尔,本·普伦德加斯特",97分钟,"科幻,悬疑","澳大利亚,美国"
1064,1064,蓝莓之夜 My Blueberry Nights,7.6,141982,2007,王家卫,"王家卫,劳伦斯·布洛克","裘德·洛,诺拉·琼斯,查得·R·戴维斯,卡佳·布铭邦,John Malloy,Demetrius Butler,弗兰基·费森,大卫·斯特雷泽恩,安德莱内·列诺斯,蕾切尔·薇兹,本杰明·凯恩,猫女魔力,Michael Hartnett,娜塔莉·波特曼,Michael May,迈克尔·德拉诺,扬·福尔克,蒂·艾萨基尔多,劳里·约翰逊,杰姬·摩尔,Kenon Walker",95 分钟,"剧情,爱情","美国,法国,中国大陆,中国香港"
1065,1065,四月物语 四月物語,8.2,142962,1998,岩井俊二,岩井俊二,"松隆子,田边诚一,藤井香织,留美,加藤和彦,光石研,松本幸四郎,藤间纪子,市川染五郎,松本纪保,盐见三省,梅田凡乃,真野勝成,津田宽治,鸫,江口洋介,石井龙也,伊武雅刀",67 分钟,爱情,日本
1066,1066,我是路人甲,7.1,128542,2015,尔冬升,尔冬升,"万国鹏,王婷,沈凯,徐小琴,林晨,魏星,蒿怡帆,蒿怡霏,覃培军,王昭,张文斌,林俭,耿力树,张喜来,周鹏,寇骏,姜涛,袁咏仪,方中信,刘伟强,冯德伦,吴彦祖,尔冬升,麦兆辉,庄文强,方平,张静初,许鞍华,林更新,蒋梦婕,陆剑明,顾冠忠,黄斌,杨立山,赵书勋,王凯,谢丽华,张武常,周笑琴,韩东升,施小菊,郭威,杜江山,褚琪灵,许萧匀,马红磊,王尧,刘广超,朱荣荣,张忆幻,张帅,李海鹰",134分钟,"剧情,喜剧","中国大陆,中国香港"
1067,1067,致命伴旅 The Tourist,6.6,146314,2010,弗洛里安·亨克尔·冯·多纳斯马尔克,"朱利安·费罗斯,克里斯托弗·麦奎里,弗洛里安·亨克尔·冯·多纳斯马尔克,热罗姆·萨尔","约翰尼·德普,安吉丽娜·朱莉,卢夫斯·塞维尔,保罗·贝坦尼,提摩西·道尔顿,史蒂文·伯克夫,克里斯蒂安·德·西卡,阿莱西奥·博尼,丹尼尔·佩奇,乔万尼·圭代利,雷欧·波瓦",105分钟,"剧情,爱情,悬疑,犯罪","美国,法国,意大利"
1068,1068,武侠,6.6,140615,2011,陈可辛,林爱华,"甄子丹,金城武,汤唯,王羽,惠英红,李小冉,姜武",115分钟,"剧情,动作,悬疑,武侠","中国香港,中国大陆"
1069,1069,祖宗十九代,4.3,94770,2018,郭德纲,"郭德纲,陈璧瑜","岳云鹏,吴京,吴秀波,井柏然,林志玲,王宝强,大鹏,吴君如,李晨,杜淳,郑恺,欧弟,张国立,贾乃亮,张俪,马苏,萧敬腾,汪东城,于谦,黄磊,吴樾,孙艺洲,贾玲,谢依霖,孟非,郭麒麟,谢楠,王小利,张晨光,刘蓓,孙越",95分钟,"喜剧,奇幻",中国大陆
1070,1070,天台爱情,6.7,134252,2013,周杰伦,周杰伦,"周杰伦,王学圻,曾志伟,柯有伦,李心艾,徐帆,纳豆,钟镇涛,唐从圣,林暐恒,傅艺伟,姜大卫,宋健彰,刘伟强,黄俊郎,邱凯伟,黄怀晨",117分钟,"喜剧,动作,爱情,歌舞","中国大陆,中国香港,中国台湾"
1071,1071,阳光普照 陽光普照,8.5,172856,2019,钟孟宏,"张耀升,钟孟宏","陈以文,柯淑勤,巫建和,刘冠廷,许光汉,尹馨,温贞菱,吴岱凌,林志儒,龙劭华,胡鸿达,施名帅,张立东,张少怀,黄信尧",155分钟,"剧情,家庭,犯罪",中国台湾
1072,1072,声之形 聲の形,6.8,113574,2016,山田尚子,"吉田玲子,大今良时","入野自由,早见沙织,悠木碧,小野贤章,金子有希,石川由依,潘惠美,丰永利行,松冈茉优,小岛幸子,武田华,小松史法,谷育子,镰田英怜奈,滨口绫乃,绵贯龙之介,西谷亮,增元拓也,雪野五月,平松晶子",129分钟,"剧情,爱情,动画",日本
1073,1073,南极之恋,6.7,94418,2018,吴有音,吴有音,"赵又廷,杨子姗",117分钟,"爱情,冒险",中国大陆
1074,1074,八月迷情 August Rush,8.3,144348,2007,科斯汀·谢里丹,"尼克·卡斯特尔,詹姆士·V·哈特,保罗·卡斯特罗","乔纳森·莱斯·梅耶斯,弗莱迪·海默,罗宾·威廉姆斯,凯丽·拉塞尔,泰伦斯·霍华德",114 分钟,"剧情,爱情,音乐",美国
1075,1075,戏梦巴黎 The Dreamers,8.1,149275,2003,贝纳尔多·贝托鲁奇,吉尔伯特·阿代尔,"迈克尔·皮特,伊娃·格林,路易·加瑞尔,安娜·钱斯勒,罗宾·瑞努奇,琼-皮尔里·卡尔弗恩,让-皮埃尔·利奥德,吉尔伯特·阿代尔,让-保罗·贝尔蒙多,亨利·朗格卢瓦,珍·茜宝,弗朗索瓦·特吕弗,亚历珊德拉·耶尔马克,Lola Peploe,Florian Cadiou,Valentin Merlet,Ingy Fillion,Pierre Hancisse",115分钟,"剧情,爱情,情色","法国,英国,意大利"
1076,1076,终结者：黑暗命运 Terminator: Dark Fate,6.9,142001,2019,蒂姆·米勒,"詹姆斯·卡梅隆,查尔斯·H·伊格里,乔什·弗莱德曼,大卫·S·高耶,贾斯汀·罗德斯,比利·雷,盖尔·安妮·赫德","麦肯兹·戴维斯,娜塔利娅·雷耶斯,琳达·汉密尔顿,阿诺·施瓦辛格,加布里埃尔·鲁纳,迪耶戈·博内塔,恩里克·阿尔切,特里斯坦·乌罗阿,艾丽西娅·博拉切罗,布雷特·阿扎尔,史蒂芬·克里,罗谢尔·尼尔,弗雷泽·杰姆斯,克劳迪娅·特鲁希略,比约恩·弗赖贝格,约翰·盖蒂尔,彼得·奥蒙德,洛娜·布朗,彼得·舒勒",128分钟,"动作,科幻,冒险","中国大陆,西班牙,匈牙利,美国"
1077,1077,太极张三丰 太極張三豐,7.8,110649,1993,袁和平,叶广俭,"李连杰,杨紫琼,钱小豪,袁洁莹,袁祥仁,刘洵,于海",96分钟,"喜剧,动作,武侠,古装","中国香港,中国大陆"
1078,1078,黄飞鸿之三：狮王争霸 黃飛鴻之三獅王爭霸,8.0,106288,1992,徐克,"徐克,张炭,陈天璇","李连杰,关之琳,莫少聪,熊欣欣,刘洵,庄域飞,Jin Chiu,葛存壮,Tak-Yan Wong,张春仲,孟瑾,李炳雷",112分钟,"剧情,动作,武侠,古装","中国香港,中国大陆"
1079,1079,敢死队3 The Expendables 3,6.8,106772,2014,帕特里克·休斯,"西尔维斯特·史泰龙,克赖顿·罗森博格,凯特琳·贝内迪克特,戴夫·卡拉汉姆","西尔维斯特·史泰龙,杰森·斯坦森,阿诺·施瓦辛格,杜夫·龙格尔,韦斯利·斯奈普斯,梅尔·吉布森,兰迪·库卓,哈里森·福特,凯尔希·格兰莫,安东尼奥·班德拉斯,维克托·奥尔蒂斯,龙达·鲁西,凯南·鲁兹,李连杰,伊凡·科斯塔迪诺夫,泰瑞·克鲁斯",126分钟(美国),"动作,惊悚,冒险","美国,法国"
1080,1080,律政俏佳人 Legally Blonde,7.3,121163,2001,罗伯特·路克蒂克,"阿曼达·布朗,凯伦·麦卡勒,克尔斯滕·史密斯","瑞茜·威瑟斯彭,卢克·威尔逊,塞尔玛·布莱尔,马修·戴维斯,维克多·加博,詹妮佛·库里奇,霍兰德·泰勒,艾丽·拉特,杰西卡·卡普肖,阿兰娜·乌巴赫,奥兹·珀金斯,琳达·卡德里尼,布鲁斯·托马斯,梅勒迪斯·斯科特·林恩,拉蔻儿·薇芝,萨曼莎·莱摩尔,凯利·尼克斯,迈克尔·B·希尔维,金伯利·麦卡洛,格雷格·塞拉诺,弗朗西斯卡·P·罗伯茨,丽莎·阿奇,阿斯·比斯利,凯文·库尼,特德·鲁尼,韦恩·费德曼,丹·麦克卢尔,尼可拉斯·兰格,道格·斯平扎,维多利亚·马奥尼,莱西·比曼,梅丽莎·安妮·扬,布洛迪·哈泽尔,昌尼·克莱,约翰·坎特威尔,特伦斯迈克尔,乔迪·哈里斯,萨莎·巴瑞斯,加里安布罗西亚,琼·布莱尔,加里·卡斯特罗·丘吉尔,柯特·克伦德尼,安珀·玛丽·戈茨,马克海德堡,理查德·希尔曼,赛斯·亚当·琼斯,约翰·卡普洛斯,迪恩海曼梅森,贝弗莉·波尔辛,斯科特·瑞恩·韦纳里,詹娜·Z·威尔逊",96分钟,"喜剧,爱情",美国
1081,1081,夺冠,7.3,179703,2020,陈可辛,张冀,"巩俐,黄渤,吴刚,彭昱畅,白浪,朱婷,徐云丽,张常宁,姚迪,林莉,刘晓彤,颜妮,惠若琪,丁霞,袁心玥,龚翔宇,李现,刘敏涛,陈展,罗慧,毛雯,李紫微,李冬徐,马雪纯,刘畅,刘贞宏,凌敏,李阳一,刘晨曦",135分钟,"剧情,运动","中国大陆,中国香港"
1082,1082,忍者神龟：变种时代 Teenage Mutant Ninja Turtles,6.5,110520,2014,乔纳森·里贝斯曼,"乔什·阿佩尔鲍姆,安德烈·内梅克,埃文·达赫迪,彼得·拉尔德,凯文·伊斯特曼","梅根·福克斯,威尔·阿奈特,威廉·菲克纳,阿兰·里奇森,诺尔·费舍,皮特·普劳泽克,约翰尼·诺克斯维尔,杰瑞米·霍华德,丹尼·伍德伯恩,托尼·夏尔赫布,水源士郎,乌比·戈德堡,野路美苗,艾比·艾略特,麦迪逊·梅森",101分钟,"喜剧,动作,科幻,冒险",美国
1083,1083,十万个冷笑话2,7.3,82813,2017,"卢恒宇,李姝洁","卢恒宇,李姝洁,寒舞,隋佳林,高信影,赵聪","山新,郝祥海,李姝洁,藤新,图特哈蒙,李佳怡,佟心竹,九孔,卢恒宇,宝木中阳",101分钟,"喜剧,动画,奇幻",中国大陆
1084,1084,第36个故事 第36個故事,7.6,137768,2010,萧雅全,萧雅全,"桂纶镁,林辰唏,张翰,马玉,中孝介,巴钰,张为程,张聿文",82分钟,"剧情,喜剧",中国台湾
1085,1085,勇敢传说 Brave,7.5,133245,2012,"马克∙安德鲁斯,布兰达∙查普曼,史蒂夫·普切尔","布兰达∙查普曼,艾琳·梅琪,马克∙安德鲁斯,史蒂夫·普切尔","凯莉·麦克唐纳,艾玛·汤普森,比利·康诺利,朱丽·沃特斯,罗彼·考特拉尼,凯文·麦克基德,克雷格·费格森,莎莉·金霍恩,伊丽·弗雷泽,佩吉·巴克,史蒂芬·克里,卡勒姆·奥尼尔,帕特里克·道尔,约翰·拉岑贝格,史蒂夫·波赛尔",93分钟,"喜剧,动画,奇幻,冒险",美国
1086,1086,海底总动员2：多莉去哪儿 Finding Dory,7.5,96078,2016,"安德鲁·斯坦顿,安格斯·麦克莱恩","安德鲁·斯坦顿,维多利亚·斯特劳斯,鲍勃·彼德森","艾伦·德杰尼勒斯,艾伯特·布鲁克斯,艾德·奥尼尔,凯特琳·奥尔森,海登·罗兰斯,泰·布利尔,黛安·基顿,尤金·列维,斯隆·穆雷,伊德里斯·艾尔巴,多米尼克·韦斯特,鲍勃·彼德森,凯特·麦克金农,比尔·哈德尔,西格妮·韦弗",97分钟,"喜剧,动画,冒险",美国
1087,1087,偷心 Closer,7.8,144609,2004,迈克·尼科尔斯,派崔克·马柏,"朱莉娅·罗伯茨,裘德·洛,娜塔莉·波特曼,克莱夫·欧文,科林·斯廷顿,Nick Hobbs",104 分钟,"剧情,爱情","美国,英国"
1088,1088,陪安东尼度过漫长岁月,6.1,83742,2015,秦小珍,"钱小蕙,冯靖晴","刘畅,白百何,唐艺昕,白举纲,金世佳,江一燕,高圣远,禾浩辰,宋芸桦,潘虹,于荣光,卢燕",121分钟,"剧情,爱情",中国大陆
1089,1089,小小的愿望,5.1,114761,2019,田羽生,"田羽生,大宽,大广","彭昱畅,王大陆,魏大勋,曾梦雪,贾冰,岳旸,李歌",107分钟,"剧情,喜剧",中国大陆
1090,1090,赌侠2：上海滩赌圣 賭俠II上海灘賭聖,7.6,97452,1991,王晶,王晶,"周星驰,巩俐,吕良伟,向华强,吴君如,吴孟达,黄韵诗,龙方,张敏,方季韦",116分钟,"喜剧,奇幻",中国香港
1091,1091,赛德克·巴莱 賽德克·巴萊,8.8,141407,2011,魏德圣,魏德圣,"林庆台,马志翔,安藤政信,河原萨布,徐诣帆,温岚,罗美玲,徐若瑄,游大庆,林源杰",153分钟(中国大陆/国际版),"剧情,历史,战争",中国台湾
1092,1092,环形使者 Looper,6.9,151964,2012,莱恩·约翰逊,莱恩·约翰逊,"约瑟夫·高登-莱维特,布鲁斯·威利斯,艾米莉·布朗特,保罗·达诺,皮尔斯·加格农,杰夫·丹尼尔斯,许晴",110分钟(中国大陆),"动作,科幻,惊悚","美国,中国大陆"
